x,y,zr,notes
620118.1835,4187523.869,150,
622032.283,4186817.587,170,
622666.7993,4186827.029,120,
625089.3419,4186096.97,200,
621397.2691,4184700.33,250,
617886.3525,4181647.199,100,
618989.9919,4182174.128,50,
618779.3145,4181372.595,50,
619228.3597,4181059.797,50,
618886.0424,4180575.755,80,
617971.9803,4177880.06,100,
618731.8499,4178050.553,100,
619530.4378,4177742.806,100,
621644.0755,4178731.8,100,
622414.1751,4180339.982,100,
621987.7763,4181259.899,150,
622721.6511,4181015.212,120,
623296.9338,4180768.324,200,
622650.6255,4181525.219,250,
622740.5997,4181877.814,150,
632106.5979,4181894.988,2500,
633143.205,4182582.374,13000,
633900.2991,4182882.108,4000,
634696.9651,4182703.539,10500,
632907.3848,4189317.704,600,
632950.9455,4188583.781,900,
633245.7402,4188013.639,750,
632951.7951,4186571.703,950,
634919.281,4186571.784,700,
635082.095,4186318.962,1100,
635713.4274,4186520.923,1400,
635219.966,4185650.413,1600,
635890.5106,4185405.967,1400,
636316.803,4184582.601,2000,
637273.7988,4186195.54,1100,
638057.7501,4184867.125,1100,
637923.3858,4185312.05,800,
638738.694,4185900.691,1200,
639198.3787,4186866.643,1000,
639519.9424,4186616.591,900,
645441.6549,4183748.649,1300,
643784.0432,4184134.751,1000,
643993.3466,4184873.077,900,
642627.7283,4184913.223,1200,
642741.945,4185649.755,1200,
641964.4509,4186562.644,1000,
641047.6941,4186355.185,1000,
641647.757,4186525.217,1000,
642196.4774,4185991.71,700,
643059.3393,4187475.893,900,
643358.1365,4186714.576,700,
643654.8443,4186080.875,700,
644389.3987,4187626.901,700,
645553.5554,4188190.42,350,
646236.0387,4189064.972,400,
645704.144,4186851.6,400,
646123.4316,4186475.774,600,
646261.0695,4185871.298,600,
647393.5883,4186434.508,600,
648291.1435,4184182.875,750,
628261.9723,4186145.837,300,(GT)
625174.2837,4180509.192,400,(GT)
631777.9612,4188532.923,700,(GT)
632840.6497,4187559.913,600,(GT)
631085.0812,4186222.315,600,(GT)
633495.2596,4186324.903,300,(GT)
627853.9327,4177675.989,1500,(GT)
628768.6231,4176061.431,1700,(GT)
629574.7448,4175307.489,5900,(GT)
629758.3674,4175757.526,4000,(GT)
630524.7981,4175514.129,5100,(GT)
629944.3953,4176047.901,2900,(GT)
630329.1069,4175830.448,3900,(GT)
629461.4266,4176455.499,3000,(GT)
630251.4832,4178735.562,4500,(GT)
630792.8294,4178648.242,5900,(GT)
631076.618,4178780.493,4800,(GT)
631291.7001,4179231.074,4100,(GT)
632541.3084,4180528.631,8000,(GT)
634538.3772,4178804.409,20000,(GT)
640311.182,4183020.838,2400,(GT)
622955.1716,4182392.082,200,
625145.2778,4178241.286,500,
626474.0999,4178580.857,800,
626779.8486,4179352.109,500,
625976.3215,4179978.491,500,
624808.6637,4181589.49,600,
625877.671,4182276.537,800,
627527.2335,4182365.735,900,
627582.8115,4182877.675,800,
626869.2336,4183856.618,500,
630492.2638,4187586.227,1500,
630912.5544,4185101.716,400,
628664.905,4182702.845,200,
628232.969,4181897.689,1200,
628903.5823,4181652.562,1200,
629412.4217,4181596.725,1200,
628643.7935,4179987.738,1200,
629244.0428,4180188.8,1700,
628400.7661,4179281.423,1300,
628852.7159,4178809.359,1700,
640210.8092,4187043.562,900,
638105.609,4183909.753,1900,
638382.6602,4184425.515,1000,
639045.7673,4184628.263,700,
638849.483,4183091.84,3200,
638928.597,4184051.354,2100,
639542.6929,4185275.539,1400,
640394.4931,4185577.5,1200,
640309.1292,4185001.108,1400,
639884.4098,4183844.008,2100,
641625.1233,4182308.682,1800,
640000.1575,4175158.441,4000,
640827.2741,4175108.582,2700,
641009.6653,4175590.84,2900,
641350.4003,4176107.669,2700,
639731.8842,4175984.317,3700,
643074.2872,4177478.825,2500,
643273.1278,4177003.236,2100,
643897.7931,4175800.301,1800,
645321.7351,4176144.692,1500,
648520.2176,4183803.625,700,
647884.2648,4183856.107,700,
647735.9027,4183278.485,800,
647844.2864,4182545.75,1000,
648227.4905,4182424.883,600,
648538.6522,4182781.904,600,
646358.2969,4189322.661,600,
646990.9557,4189429.856,600,
647749.8291,4189571.226,350,
648256.6352,4189612.213,200,
649869.1809,4188172.19,250,
649803.7269,4190023.666,250,
650372.1871,4190161.812,200,
652192.2739,4189524.563,250,
653209.528,4189415.709,200,
653471.6667,4188973.38,150,
653723.5586,4187380.902,100,
655603.6913,4186969.158,500,
654324.507,4185795.083,150,
654717.2826,4185163.542,250,
633232.0072,4181018.899,6000,(GT)
633795.1879,4181539.01,3400,(GT)
632900.6488,4181875.8,8000,(GT)
631901.7738,4182786.03,1800,(GT)
632641.5905,4182191.042,2200,(GT)
634659.9523,4183022.245,3000,(GT)
638371.0595,4179442.773,3600,(GT)
638598.1699,4179159.127,2300,(GT)
637964.7223,4179052.606,4000,(GT)
637370.4256,4178499.725,1500,(GT)
637102.1124,4177441.315,4600,(GT)
636689.7917,4177402.506,1500,(GT)
633337.6366,4176453.308,8200,(GT)
632569.6438,4174812.114,4900,(GT)
633517.6285,4175146.81,6700,(GT)
633409.9556,4175911.536,6500,(GT)
634577.9717,4176377.667,4100,(GT)
636132.8109,4176498.958,5700,(GT)
634280.6353,4177075.476,5800,(GT)
635983.4685,4175921.692,7000,(GT)
651100.4818,4178133.108,2200,(GT)
627301.8686,4180509.938,800,
627182.8229,4179997.024,900,
628699.9321,4178423.747,1900,
629430.8563,4178403.226,2100,
629126.31,4177568.071,2400,
628318.9339,4176373.723,1650,
629117.4867,4176098.846,1600,
630034.7326,4178380.764,3900,
631606.2443,4179427.762,11500,
631992.718,4175122.283,6800,
632186.8663,4174901.867,5700,
637039.7998,4173543.723,4500,
637569.3376,4174191.262,3600,
637015.4226,4175012.46,6400,
638132.411,4176628.089,4300,
636887.2003,4176990.575,6300,
637990.9029,4177488.102,4500,
632321.6281,4180365.391,19000,
633291.1769,4179327.093,25000,
633285.6986,4181626.531,12000,
645550.4819,4177586.085,1500,
646086.4519,4177819.103,1300,
647111.9463,4177326.315,1200,
652294.3807,4178857.799,300,
651322.8746,4179861.973,400,
650903.6917,4180205.704,750,
651835.0094,4183097.552,600,
651394.7385,4182865.893,200,
650751.7586,4183301.194,600,
650109.921,4183672.85,500,
651719.2089,4184213.392,400,
650948.1718,4184710.249,250,
645983.8964,4180021.18,450,
645626.2146,4180494.012,1000,
646659.1985,4181342.795,1200,
647401.8875,4180653.342,1300,
646224.8972,4182548.799,800,
644602.1588,4182743.794,1100,
642943.2874,4183193.871,1500,
643893.8288,4183306.218,1400,
653670.4548,4181726.132,150,
654410.7352,4181196.966,300,
655100.1602,4181688.995,300,
655350.6877,4180192.437,300,
655283.1223,4178721.857,250,
654674.9266,4178965.945,350,
654103.948,4178923.284,350,
653434.657,4179038.559,400,
642969.2144,4179872.541,500,
640783.229,4179547.442,2600,
644689.0389,4177794.467,1700,
637536.2234,4181888.092,3000,
638070.3701,4180331.97,4500,
637845.1483,4178603.542,5350,
637926.0586,4179467.168,5750,
635146.024,4176610.591,4600,
627026.2254,4177790.938,4500,
626640.7141,4178072.453,600,
641944.6256,4176660.837,1000,
627049.3322,4184530.181,800,(LT)
635739.3468,4175310.796,5000,
636660.6296,4175326,2600,
639348.5191,4177989.96,2500,
640253.5376,4177079.091,2000,
641050.8351,4176901.006,2000,
640365.0995,4176122.813,3200,
639768.5696,4175697.476,2000,
641460.98,4177067.745,2100,
642227.6835,4176825.428,2200,
643102.6865,4177671.001,1600,
643342.2172,4176685.002,1200,
644479.9685,4178844.899,1800,
643421.5342,4179433.212,1800,
642001.7579,4180718.218,700,
639072.3112,4181179.246,1000,
645159.376,4183552.09,500,
640310.0927,4183084.75,2400,
643885.8837,4185573.898,700,
643440.9785,4178315.637,2200,
640750.6548,4187020.82,500,
656938.464,4180751.79,0,Deposit not found
617200.933,4179616.15,0,Deposit not found
616785.085,4180179.44,0,Deposit not found
616582.165,4181220.2,0,Deposit not found
616638.607,4181663.69,0,Deposit not found
616698.149,4184099.72,0,Deposit not found
619205.004,4184230.44,0,Deposit not found
